[1013/102545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/103347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/103634:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/103651:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/103710:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/104113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/104129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/104404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/104541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/104837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/105244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/105406:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/105424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/105600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/105713:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/121014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/121439:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/121640:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/121853:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/122130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/122147:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/122329:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/122436:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/123657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/123722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141418:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141516:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/142631:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/142758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143102:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143525:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143628:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143858:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143951:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/144110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/144246:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/144513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/163431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/163627:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/163846:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164624:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164720:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/165046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/165835:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170158:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172428:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172853:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173211:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173455:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/092701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101112:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101238:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101635:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/114557:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/115251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/123543:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/143412:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/145722:ERROR:file_io.cc(30)] read: expected 4, observed 0
